Well Name,Depth,Quartz,K-Feldspar,Plagioclase,Chlorite,IlliteSmectiteMica,Calcite,Ankerite/Dolomite,Pyrite,Organics,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl,Zr
Well 1,4972.29,33.98,0.68,4.53,1.7,6.58,43.7,7.1,0.95,0.79,2.9,38.91,0.28,1.7,0.22,0.63,26.22,0.59,0.56,0.03,0.66,0.06,259.66
Well 1,4981.43,34.87,0.38,4.9,1.92,7.15,42.66,6.32,0.84,0.96,3.11,39.78,0.29,1.77,0.22,0.63,25.32,0.57,0.59,0.03,0.61,0.04,262.46
Well 1,4990.58,35.57,1.21,5.07,2.01,8.06,39.95,6.21,0.88,1.04,3.03,39.66,0.28,1.77,0.23,0.61,25.44,0.56,0.6,0.03,0.58,0.06,243.59
Well 1,4999.72,35.13,1.2,5.0,1.87,8.06,40.0,6.89,0.91,0.95,3.23,41.19,0.3,1.84,0.22,0.65,24.92,0.63,0.62,0.04,0.71,0.08,252.29
Well 1,5008.86,47.45,1.72,3.01,1.51,12.5,27.65,3.82,0.92,1.42,3.99,52.34,0.29,1.44,0.13,0.16,13.67,0.63,0.91,0.07,0.84,0.07,93.48
Well 1,5018.01,47.84,2.78,2.91,1.44,16.08,23.58,2.68,1.13,1.55,4.38,58.54,0.42,1.48,0.17,0.09,13.14,0.7,1.0,0.07,0.61,0.07,92.75
Well 1,5027.15,48.31,3.91,2.1,1.55,17.04,21.55,2.43,1.26,1.86,4.24,55.92,0.3,1.46,0.12,0.08,12.34,0.66,0.96,0.08,0.65,0.05,95.7
Well 1,5036.3,51.5,2.23,2.97,1.29,15.67,21.1,2.49,1.08,1.67,4.29,56.31,0.3,1.46,0.13,0.07,12.84,0.66,0.98,0.08,0.65,0.07,87.44
Well 1,5054.58,49.92,4.85,2.16,2.52,20.87,15.77,0.53,0.98,2.41,6.85,78.42,0.34,1.87,0.14,0.085,9.77,1.05,1.13,0.1,0.74,0.04,142.14
Well 1,5072.87,50.72,0.0,5.62,1.5,18.45,19.35,1.61,1.3,1.44,7.08,79.16,0.32,1.41,0.1,0.1,9.33,1.08,1.11,0.09,0.68,0.07,122.09
